expert,proposed,accepted,accept_rate
1,48408,47840,0.9883
2,50299,12334,0.2452
3,34611,9244,0.2671
4,880,17,0.0193
5,60851,5199,0.0854
6,28129,12093,0.4299
total,223178,86727,0.021557181824825248
