class,rows,weight,mean_ce,mean_residual
benign,1741405,0.1640712234707253,0.05539858735329613,0.009089314005605146
bot,20651,13.83544965478187,0.09053757609325101,1.2526280759041568
brute_force,57189,4.995965331739391,3.5853257135257675,17.912162967768527
ddos,131674,2.169856585350243,0.002392936294124907,0.005192328576130536
dos,30122,9.485075676665465,2.5078484915667874,23.787132728122312
infiltration,18707,15.273029483559995,2.399742100383664,36.65133185209989
web_attacks,252,1132.8433452224517,1.2744155324606092,1443.7131549961287
