draw,seed,cal_benign_recall,cal_macro_f1,cal_benign_misrouted,selected
0,47,0.99028,0.774079,486,False
1,48,0.9855,0.769806,725,False
2,49,0.9911,0.657127,445,False
3,50,0.99126,0.76187,437,False
4,51,0.99206,0.674339,397,True
