K,beta,tune_expert_balanced_nll
2,0.0,0.716165
2,0.5,1.618819
2,1.0,3.647743
4,0.0,0.839073
4,0.5,2.091336
4,1.0,4.994967
8,0.0,1.067243
8,0.5,2.676415
8,1.0,5.905799
