expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15899,12761,15899,0,0,0,0,0,15886,13
2,1972836,12761,186000,126356,4048,41220,10381,2297,1459,239
