policy,macro_f1,tail_f1,benign_f1,accuracy,attack_called_benign,benign_called_attack,changed,H,D
global,0.6820693521052773,0.09429707454535409,0.9060893350348432,0.8824839119910306,0.054943373700968495,0.1470818054916835,0,0,0
regime_route,0.6905230924830634,0.03362337155967893,0.8933973469746508,0.8696967015784935,0.0023713947839347094,0.19163102268056342,156666,60082,89131
regime_route+V,0.7662613520100108,0.09692927949952815,0.9268950377911768,0.9089316787301973,0.008635338171430147,0.13221510925170013,60082,60082,0
class_route,0.6919317072402188,0.09065034875540504,0.9014744924624909,0.8815264889249261,0.004132070763122616,0.17754367829657697,134837,64048,66223
class_route+V,0.7760020021501163,0.09823991649424187,0.9273817165112762,0.9106774901693561,0.005778628854770567,0.13270144108873216,64048,64048,0
union,0.782111569051588,0.10367886730411233,0.9315146362798996,0.9162028116984333,0.0015362023322686511,0.12746709968513914,76600,76600,0
