,expert1,expert2,expert3,expert4,expert5,expert6,expert7,global,union
regime1,0.22755455595404533,0.20495714546228191,0.20229773266062853,0.2292565801471035,0.24834356574068445,0.21407513221080784,0.2815482341498997,0.3551911737888274,0.4068445687192268
regime2,0.9296809346959798,0.9321839392050024,0.9253345622452944,0.9271237134827908,0.928614672847371,0.9303044267938952,0.9332682732883335,0.9304218963195894,0.9600965057334164
regime3,0.5494494787099289,0.5164182013056611,0.5209003215434084,0.5265516905388288,0.5018025918347462,0.5147617655656241,0.5426288609568353,0.6106401636948261,0.6083016661794797
regime4,0.6875088314257454,0.7345979935000706,0.6567401441288682,0.7493641373463332,0.7288399039140879,0.8250671188356649,0.6957750459234139,0.7238943054966794,0.8774551363572135
regime5,0.07723911257189811,0.07665218922408733,0.0770043432327738,0.0770043432327738,0.07712172790233596,0.07712172790233596,0.07630003521540087,0.07630003521540087,0.07759126658058457
regime6,0.2378940526486838,0.489144223007328,0.469990669588099,0.34759453594305306,0.5140952121358257,0.4864499355258054,0.4975730445448541,0.7150240598823739,0.6581609653307054
regime7,0.8298616072000102,0.9055759112032876,0.9025023364186863,0.9084963705496025,0.9075177631831625,0.845296053052707,0.9135496921048252,0.912960274481187,0.921970529118818
