class,designated_expert,block_rows_of_class,block_share,other_experts_dominated_by_class
backdoor,,0.0,0.0,
benign,7.0,56537.0,0.30396236559139783,
ddos,,0.0,0.0,
dos,4.0,1314.0,1.0,
injection,2.0,47368.0,0.786700104632044,1
mitm,,0.0,0.0,
password,,0.0,0.0,
ransomware,5.0,391.0,1.0,
scanning,3.0,4470.0,0.9937750111160516,
xss,6.0,24764.0,0.9569888317811184,
