class,designated_expert,block_rows_of_class,block_share,other_experts_dominated_by_class
backdoor,,0.0,0.0,
benign,6.0,49515.0,0.26620967741935486,
ddos,,0.0,0.0,
dos,3.0,1314.0,1.0,
injection,1.0,47234.0,0.9240912470164729,4
mitm,,0.0,0.0,
password,,0.0,0.0,
ransomware,5.0,491.0,1.0,
scanning,2.0,4470.0,0.9937750111160516,
xss,7.0,24981.0,0.9593686393486693,
