policy,macro_f1,tail_f1,benign_f1,accuracy,attack_called_benign,benign_called_attack,changed,H,D
global,0.6837338628614459,0.10351727310217937,0.9119074559634021,0.8889913074789488,0.05532460268791517,0.1368423837178543,0,0,0
regime_route,0.6619780224859741,0.037562716983429355,0.8912782989049073,0.8677175870473645,0.0030736587072575216,0.19478437931984086,191138,61216,109544
regime_route+V,0.7680763813643752,0.10884042959123913,0.9330068567998551,0.9159382547960293,0.008043430007486635,0.12176948820526595,61216,61216,0
class_route,0.6873974605534423,0.08133222165002177,0.8933753707116728,0.8728115179535533,0.005358524543497099,0.19036262583921068,165225,62195,98951
class_route+V,0.7785038773998049,0.107494094650289,0.9324002950613298,0.9163692052244046,0.006964953268098031,0.12334854052968795,62195,62195,0
union,0.7846674879053418,0.11420617260834287,0.9353305986384249,0.9205774647701326,0.0015274240332271158,0.12075680559342658,71755,71755,0
