Class_ID,Class_Name,Expert_ID,Expert_Name,S_P,S_R,S_F1,S_Conf,S_Ent,S_Eng,T_P,T_R,T_F1,T_Conf,T_Ent,T_Eng
0,benign,0,Global_Router,0.99,1.00,0.99,0.99,0.01,-7.28,0.99,1.00,0.99,0.99,0.01,-7.28
0,benign,1,Spec_Group1,-,-,-,-,-,-,0.94,1.00,0.97,1.00,0.00,-7.03
0,benign,2,Spec_Group2,-,-,-,-,-,-,0.85,1.00,0.92,1.00,0.00,-6.17
0,benign,3,Spec_Group3,-,-,-,-,-,-,0.85,1.00,0.92,0.99,0.01,-5.90
0,benign,4,Spec_Group4,-,-,-,-,-,-,0.83,1.00,0.91,1.00,0.00,-6.39
0,benign,5,Spec_Rand1,-,-,-,-,-,-,0.91,1.00,0.95,0.99,0.01,-6.91
0,benign,6,Spec_Rand2,-,-,-,-,-,-,0.92,1.00,0.96,0.99,0.01,-7.03
0,benign,7,Spec_Rand3,-,-,-,-,-,-,0.99,1.00,0.99,0.99,0.01,-7.28
0,benign,8,Spec_Rand4,-,-,-,-,-,-,0.93,1.00,0.96,0.99,0.01,-6.92
0,benign,9,Spec_Rand5,-,-,-,-,-,-,0.85,1.00,0.92,1.00,0.00,-6.61
1,bot,0,Global_Router,1.00,1.00,1.00,1.00,0.00,-7.73,1.00,1.00,1.00,1.00,0.00,-7.73
1,bot,1,Spec_Group1,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-7.04
1,bot,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
1,bot,3,Spec_Group3,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-6.06
1,bot,4,Spec_Group4,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.30
1,bot,5,Spec_Rand1,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.36
1,bot,6,Spec_Rand2,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.42
1,bot,7,Spec_Rand3,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.73
1,bot,8,Spec_Rand4,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.31
1,bot,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.61
2,brute-force--web,0,Global_Router,0.96,0.45,0.61,0.88,0.11,-6.54,0.96,0.45,0.61,0.88,0.11,-6.54
2,brute-force--web,1,Spec_Group1,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-7.05
2,brute-force--web,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
2,brute-force--web,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.06
2,brute-force--web,4,Spec_Group4,-,-,-,-,-,-,0.93,0.46,0.62,0.90,0.10,-3.64
2,brute-force--web,5,Spec_Rand1,-,-,-,-,-,-,0.95,0.46,0.62,0.90,0.09,-6.04
2,brute-force--web,6,Spec_Rand2,-,-,-,-,-,-,0.69,0.48,0.56,0.89,0.11,-6.29
2,brute-force--web,7,Spec_Rand3,-,-,-,-,-,-,0.98,0.45,0.62,0.89,0.11,-6.64
2,brute-force--web,8,Spec_Rand4,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.91,0.06,-5.82
2,brute-force--web,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.61
3,brute-force--xss,0,Global_Router,0.95,0.80,0.87,0.94,0.07,-7.45,0.95,0.80,0.87,0.94,0.07,-7.45
3,brute-force--xss,1,Spec_Group1,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-5.39
3,brute-force--xss,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
3,brute-force--xss,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.16
3,brute-force--xss,4,Spec_Group4,-,-,-,-,-,-,0.19,0.91,0.31,0.96,0.05,-3.70
3,brute-force--xss,5,Spec_Rand1,-,-,-,-,-,-,0.95,0.83,0.88,0.95,0.06,-7.26
3,brute-force--xss,6,Spec_Rand2,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.95,0.07,-6.40
3,brute-force--xss,7,Spec_Rand3,-,-,-,-,-,-,0.95,0.80,0.87,0.93,0.08,-7.30
3,brute-force--xss,8,Spec_Rand4,-,-,-,-,-,-,0.82,0.91,0.87,0.93,0.07,-7.56
3,brute-force--xss,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.57
4,ddos-attack-hoic,0,Global_Router,1.00,1.00,1.00,1.00,0.00,-7.70,1.00,1.00,1.00,1.00,0.00,-7.70
4,ddos-attack-hoic,1,Spec_Group1,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.04
4,ddos-attack-hoic,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
4,ddos-attack-hoic,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
4,ddos-attack-hoic,4,Spec_Group4,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.25
4,ddos-attack-hoic,5,Spec_Rand1,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-5.41
4,ddos-attack-hoic,6,Spec_Rand2,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.39
4,ddos-attack-hoic,7,Spec_Rand3,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.70
4,ddos-attack-hoic,8,Spec_Rand4,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.03
4,ddos-attack-hoic,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.61
5,ddos-attack-loic-udp,0,Global_Router,0.82,0.90,0.86,0.82,0.17,-3.94,0.82,0.90,0.86,0.82,0.17,-3.94
5,ddos-attack-loic-udp,1,Spec_Group1,-,-,-,-,-,-,0.82,0.91,0.86,0.82,0.16,-3.32
5,ddos-attack-loic-udp,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
5,ddos-attack-loic-udp,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
5,ddos-attack-loic-udp,4,Spec_Group4,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.97,0.05,-2.93
5,ddos-attack-loic-udp,5,Spec_Rand1,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.68
5,ddos-attack-loic-udp,6,Spec_Rand2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-7.18
5,ddos-attack-loic-udp,7,Spec_Rand3,-,-,-,-,-,-,0.83,0.90,0.86,0.82,0.17,-3.93
5,ddos-attack-loic-udp,8,Spec_Rand4,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.50
5,ddos-attack-loic-udp,9,Spec_Rand5,-,-,-,-,-,-,0.67,1.00,0.80,1.00,0.00,-5.44
6,ddos-attacks-loic-http,0,Global_Router,1.00,1.00,1.00,1.00,0.00,-7.51,1.00,1.00,1.00,1.00,0.00,-7.51
6,ddos-attacks-loic-http,1,Spec_Group1,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-6.91
6,ddos-attacks-loic-http,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
6,ddos-attacks-loic-http,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
6,ddos-attacks-loic-http,4,Spec_Group4,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.39
6,ddos-attacks-loic-http,5,Spec_Rand1,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.05
6,ddos-attacks-loic-http,6,Spec_Rand2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-5.82
6,ddos-attacks-loic-http,7,Spec_Rand3,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.50
6,ddos-attacks-loic-http,8,Spec_Rand4,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.11
6,ddos-attacks-loic-http,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.61
7,dos-attacks-goldeneye,0,Global_Router,1.00,1.00,1.00,1.00,0.00,-7.41,1.00,1.00,1.00,1.00,0.00,-7.41
7,dos-attacks-goldeneye,1,Spec_Group1,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-6.74
7,dos-attacks-goldeneye,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-5.40
7,dos-attacks-goldeneye,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.14
7,dos-attacks-goldeneye,4,Spec_Group4,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.40
7,dos-attacks-goldeneye,5,Spec_Rand1,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.02
7,dos-attacks-goldeneye,6,Spec_Rand2,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.08
7,dos-attacks-goldeneye,7,Spec_Rand3,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.39
7,dos-attacks-goldeneye,8,Spec_Rand4,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.83,0.14,-4.80
7,dos-attacks-goldeneye,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.96,0.05,-3.79
8,dos-attacks-hulk,0,Global_Router,1.00,1.00,1.00,1.00,0.00,-7.66,1.00,1.00,1.00,1.00,0.00,-7.66
8,dos-attacks-hulk,1,Spec_Group1,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.03
8,dos-attacks-hulk,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.17
8,dos-attacks-hulk,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.99,0.01,-3.15
8,dos-attacks-hulk,4,Spec_Group4,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.41
8,dos-attacks-hulk,5,Spec_Rand1,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.99,0.02,-4.74
8,dos-attacks-hulk,6,Spec_Rand2,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.99,0.02,-4.69
8,dos-attacks-hulk,7,Spec_Rand3,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.66
8,dos-attacks-hulk,8,Spec_Rand4,-,-,-,-,-,-,1.00,1.00,1.00,1.00,0.00,-7.24
8,dos-attacks-hulk,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-6.61
9,dos-attacks-slowhttptest,0,Global_Router,1.00,1.00,1.00,1.00,0.00,-7.69,1.00,1.00,1.00,1.00,0.00,-7.69
