true_class,Benign,DoS,DDoS_Scan,BruteForce,WebBot,Tail
benign,0.1750023312909786,0.1565244741811599,0.16168325491134847,0.17566391575980014,0.1624575822090796,0.16866844164762976
dos-hulk,0.152603934253944,0.17246760207250988,0.16428752708849445,0.17672677711459697,0.16343360388523903,0.170480555585212
portscan,0.14204835072903602,0.16119255274605343,0.17744660398391526,0.18063381747913,0.1689324869961512,0.16974618806571393
ddos,0.15348906599321663,0.16562117662562667,0.16309263559655976,0.17788839955774632,0.16722097761586832,0.17268774461098005
dos-goldeneye,0.1517991454642917,0.16245490407309274,0.16779368906576766,0.18074240035780195,0.1631517582273499,0.17405810281169606
ftp-patator,0.15720174903397782,0.16681516883433883,0.17066452379897978,0.15667269909484827,0.1690584697668778,0.1795873894709771
ssh-patator,0.14876837804681486,0.15526810064609298,0.17196663038247323,0.18186132049310008,0.16679854590947407,0.17533702452204425
dos-slowloris,0.15101386350872678,0.16566765375214929,0.16762586990892092,0.17944209915526768,0.16372739347843196,0.17252312019650315
dos-slowhttptest,0.14869130237901765,0.1585250134375314,0.17054326250139198,0.18119272200217731,0.16678221467181184,0.17426548500807001
bot,0.1439456166128662,0.16495916336468636,0.16682287591311798,0.1814527972959155,0.17377798283607757,0.16904156397733622
web-attack-�-brute-force,0.15162926048738742,0.15046913806940931,0.17529378830555406,0.18154147338137563,0.16631113055946933,0.1747552091968046
web-attack-�-xss,0.1545838347304524,0.15036613393139583,0.17498161383032662,0.1811705232123938,0.16458016999467964,0.17431772430075185
infiltration,0.13700530374998632,0.1643321989634272,0.16941746154972231,0.18468305959301787,0.172719463452019,0.1718425126918273
web-attack-�-sql-injection,0.15776061005564387,0.1548397959951479,0.17054827109784831,0.18356774560210423,0.16135194699284997,0.17193163025640573
heartbleed,0.15377177131852965,0.1454007503063226,0.1710450814185001,0.1914204779238438,0.17526101984106418,0.1631008991917397
