true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.002851664290279758,0.99670583607847,0.0003933330055558287,4.9166625694478586e-05,0.9971975023354147
ddos,target known,flood,100000,0.00429,0.95246,0.00387,0.03938,1.03509
dos,target known,flood,40692,0.053007962253022706,0.8882827091320161,0.05458075297355745,0.0041285756414037155,0.951120613388381
injection,target known,application,76356,0.025027502750275026,0.9474435538791974,0.02064015925402064,0.0068887841165068886,0.9818612813662319
mitm,target known,stealth_malware,1204,0.9227574750830565,0.0,0.07724252491694353,0.0,0.07724252491694353
password,target known,probe_access,100000,0.06548,0.92502,0.00616,0.00334,0.93786
ransomware,target known,stealth_malware,795,0.949685534591195,0.0,0.042767295597484274,0.007547169811320755,0.05786163522012579
scanning,target known,probe_access,100000,0.57929,0.41708,0.00254,0.00109,0.4218
unseen::xss,target unseen,,100000,0.33385,,0.64478,0.02137,0.68752
benign_diagnostic,benign diagnostic,,100000,0.19336,,0.69745,0.10919,0.91583
