class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__probe_access (owner↑/non-owner↓),in_rate__application (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.44204620002783135,0.88945,0.5905807205556219,,0.88945,0.661545,0.55302,0.04274,0.75804,2e-05,0.88945
ddos,flood,False,False,100000,0.9884165285318669,0.9958,0.9920945269418721,0.9855476093378557,0.99084,0.9881867186603969,-0.003907808281475189,0.99184,0.97614,0.99184,4e-05,0.04321,0.0,0.05219
password,probe_access,False,False,100000,0.9980100795968161,0.99805,0.998030039399212,0.9994831874414548,0.92829,0.9625720018457358,-0.03545803755347621,0.92829,0.99719,0.00033,0.92829,0.00924,0.0,0.00167
scanning,probe_access,False,False,100000,0.9996596562528154,0.99865,0.999154573059395,0.9999281075511035,0.41726,0.5888138630767169,-0.41034070998267813,0.41728,0.7507499999999999,0.00182,0.41728,0.0027,0.0,0.99248
injection,application,False,True,76356,0.9949459860776221,0.9565194614699565,0.9753543932747074,0.9007849681686136,0.9543323379957044,0.9267858391997508,-0.04856855407495664,0.9543323379957044,0.9821952433338572,0.02693959872177694,0.0005893446487505894,0.9543323379957044,0.0,0.04369008329404369
dos,flood,False,False,40692,0.9416341508732813,0.9963383466037551,0.9682141663084491,0.974349342634827,0.8924112847734198,0.9315820527949513,-0.03663211351349782,0.8924112847734198,0.9616263639044529,0.8924112847734198,0.0,0.05870932861496117,0.0,0.09478521576722697
backdoor,stealth_malware,True,False,40678,0.999827836395386,0.9993608338659717,0.9995942805857113,1.0,0.99670583607847,0.9983502006845436,-0.001244079901167705,0.99670583607847,0.9991641673631939,4.9166625694478586e-05,0.0,0.0004424996312503073,0.99670583607847,0.002851664290279758
mitm,stealth_malware,True,False,1204,0.8395904436860068,0.8172757475083057,0.8282828282828283,0.0,0.0,0.0,-0.8282828282828283,0.0,0.9364617940199336,0.0024916943521594683,0.0,0.07475083056478406,0.0,0.17691029900332225
ransomware,stealth_malware,True,False,795,0.9782330345710627,0.9610062893081761,0.9695431472081218,0.0,0.0,0.0,-0.9695431472081218,0.0,0.9506289308176101,0.04025157232704402,0.0,0.01761006289308176,0.0,0.13962264150943396
macro_avg,,,,459725,0.9675397144981072,0.9653750848445206,0.9662834943825371,0.7325116518917318,0.6474799323559493,0.6745363345327618,-0.29174715984977523,,,,,,,
tail_macro_avg,,,,42677,0.9392171048841518,0.9258809568941512,0.9324734186922204,0.3333333333333333,0.3322352786928233,0.3327834002281812,-0.5996900184640394,,,,,,,
weighted_avg,,,,459725,0.9904948782511321,0.9902202403610855,0.9902228078118515,0.9736308682647679,0.8339028767197781,0.8771368628027606,-0.11308594500909083,,,,,,,
