expert,proposed,accepted,accept_rate
1,419,417,0.9952
2,438,400,0.9132
3,114,114,1.0
4,161442,161398,0.9997
5,9776,9776,1.0
6,8,0,0.0
total,172197,172105,0.042779051252338364
