expert,accepted,helpful,harmful,precision,net
1,417,386,0,1.0,386
2,400,314,86,0.785,228
3,114,0,0,0.0,0
4,161398,32,0,1.0,32
5,9776,624,104,0.8571,520
6,0,0,0,0.0,0
