class,winner,rows
benign,application,2021264
benign,benign,810675
ddos,flood,789904
xss,application,549508
password,probe_access,302522
scanning,benign,267522
benign,stealth_malware,219584
benign,probe_access,172618
benign,flood,134303
injection,application,70113
backdoor,stealth_malware,39442
ddos,application,32893
dos,flood,32805
password,application,15806
xss,flood,13107
dos,application,6654
ddos,benign,4914
injection,flood,4057
xss,stealth_malware,3889
scanning,probe_access,2263
dos,stealth_malware,1215
backdoor,probe_access,1206
injection,probe_access,1138
mitm,stealth_malware,1034
injection,stealth_malware,872
scanning,application,811
ransomware,stealth_malware,720
scanning,stealth_malware,701
scanning,flood,499
ddos,stealth_malware,379
password,stealth_malware,372
password,flood,245
xss,probe_access,213
injection,benign,176
xss,benign,170
ddos,probe_access,162
mitm,flood,120
ransomware,application,53
mitm,application,29
ransomware,flood,22
backdoor,application,20
dos,benign,18
mitm,benign,16
password,benign,11
backdoor,flood,6
mitm,probe_access,5
backdoor,benign,4
