Expert,Epoch,Accuracy,F1_Score
0,1,0.9982584869734825,0.9982586327846539
1,1,1.0,1.0
2,1,0.4449991538331359,0.3041189391152894
3,1,1.0,1.0
0,5,0.5528375052245391,0.393639780279133
1,5,1.0,1.0
2,5,0.25825012692502963,0.10600933253196912
3,5,1.0,1.0
0,10,0.5528375052245391,0.393639780279133
1,10,1.0,1.0
2,10,0.25825012692502963,0.10600933253196912
3,10,1.0,1.0
0,15,0.5528375052245391,0.393639780279133
1,15,1.0,1.0
2,15,0.25825012692502963,0.10600933253196912
3,15,1.0,1.0
0,20,0.5528375052245391,0.393639780279133
1,20,1.0,1.0
2,20,0.25825012692502963,0.10600933253196912
3,20,1.0,1.0
0,25,0.5528375052245391,0.393639780279133
1,25,1.0,1.0
2,25,0.19876459637840582,0.06591346606802785
3,25,1.0,1.0
0,30,0.5528375052245391,0.393639780279133
1,30,1.0,1.0
2,30,0.25825012692502963,0.10600933253196912
3,30,1.0,1.0
0,35,0.5528375052245391,0.393639780279133
1,35,1.0,1.0
2,35,0.25825012692502963,0.10600933253196912
3,35,1.0,1.0
0,40,0.5528375052245391,0.393639780279133
1,40,1.0,1.0
2,40,0.25825012692502963,0.10600933253196912
3,40,1.0,1.0
0,45,0.5528375052245391,0.393639780279133
1,45,1.0,1.0
2,45,0.25825012692502963,0.10600933253196912
3,45,1.0,1.0
0,50,0.5528375052245391,0.393639780279133
1,50,1.0,1.0
2,50,0.25825012692502963,0.10600933253196912
3,50,1.0,1.0
