model,macro_f1,accuracy,rows,job,dataset,seed
balanced_random_e1_calibrated,0.7618495241981129,0.9659927959919448,3042473,cic2018_s43,cic2018,43
balanced_random_e2_raw,0.7089438501573416,0.8339630294171879,3042473,cic2018_s43,cic2018,43
balanced_random_e2_calibrated,0.7089438501573416,0.8339630294171879,3042473,cic2018_s43,cic2018,43
balanced_random_e3_raw,0.7049024589351449,0.7970420772838411,3042473,cic2018_s43,cic2018,43
balanced_random_e3_calibrated,0.7049024589351449,0.7970420772838411,3042473,cic2018_s43,cic2018,43
balanced_random_e4_raw,0.7044885827497213,0.7999472797293518,3042473,cic2018_s43,cic2018,43
balanced_random_e4_calibrated,0.7044885827497213,0.7999472797293518,3042473,cic2018_s43,cic2018,43
balanced_random_fixed_region,0.753448273056753,0.9417641504131672,3042473,cic2018_s43,cic2018,43
balanced_random_validation_region_reference,0.7643579977744039,0.9747951748462516,3042473,cic2018_s43,cic2018,43
balanced_random_region_constant,0.4193166976586117,0.898108545252497,3042473,cic2018_s43,cic2018,43
global_raw,0.6759999483434223,0.897689991253335,2271723,toniot_s43,toniot,43
global_calibrated,0.6759999483434223,0.897689991253335,2271723,toniot_s43,toniot,43
designed_e1_raw,0.7373302975758136,0.8907476835864232,2271723,toniot_s43,toniot,43
designed_e1_calibrated,0.7373302975758136,0.8907476835864232,2271723,toniot_s43,toniot,43
designed_e2_raw,0.7137719234315596,0.879680753331282,2271723,toniot_s43,toniot,43
designed_e2_calibrated,0.7137719234315596,0.879680753331282,2271723,toniot_s43,toniot,43
designed_e3_raw,0.7300400771353626,0.8963302304022102,2271723,toniot_s43,toniot,43
designed_e3_calibrated,0.7300400771353626,0.8963302304022102,2271723,toniot_s43,toniot,43
designed_e4_raw,0.6616084363121468,0.8199256687545092,2271723,toniot_s43,toniot,43
designed_e4_calibrated,0.6616084363121468,0.8199256687545092,2271723,toniot_s43,toniot,43
designed_fixed_region,0.7201609043144568,0.8832577739451509,2271723,toniot_s43,toniot,43
designed_validation_region_reference,0.7009426134735295,0.8780898903607526,2271723,toniot_s43,toniot,43
designed_region_constant,0.1034627044711542,0.1536124782819032,2271723,toniot_s43,toniot,43
matched_random_e1_raw,0.7394429449373694,0.8919868311409446,2271723,toniot_s43,toniot,43
matched_random_e1_calibrated,0.7394429449373694,0.8919868311409446,2271723,toniot_s43,toniot,43
matched_random_e2_raw,0.7125436024887415,0.8751951712422685,2271723,toniot_s43,toniot,43
matched_random_e2_calibrated,0.7125436024887415,0.8751951712422685,2271723,toniot_s43,toniot,43
matched_random_e3_raw,0.7300400771353626,0.8963302304022102,2271723,toniot_s43,toniot,43
matched_random_e3_calibrated,0.7300400771353626,0.8963302304022102,2271723,toniot_s43,toniot,43
matched_random_e4_raw,0.7265882910497979,0.8729453370855513,2271723,toniot_s43,toniot,43
matched_random_e4_calibrated,0.7265882910497979,0.8729453370855513,2271723,toniot_s43,toniot,43
matched_random_fixed_region,0.7401864882425875,0.8887729710004256,2271723,toniot_s43,toniot,43
matched_random_validation_region_reference,0.7297115329632629,0.8858056197872716,2271723,toniot_s43,toniot,43
matched_random_region_constant,0.1034627044711542,0.1536124782819032,2271723,toniot_s43,toniot,43
balanced_random_e1_raw,0.7411763057589198,0.8896797716975177,2271723,toniot_s43,toniot,43
balanced_random_e1_calibrated,0.7411763057589198,0.8896797716975177,2271723,toniot_s43,toniot,43
balanced_random_e2_raw,0.7282117464686759,0.8828501538259726,2271723,toniot_s43,toniot,43
balanced_random_e2_calibrated,0.7282117464686759,0.8828501538259726,2271723,toniot_s43,toniot,43
balanced_random_e3_raw,0.730427221734472,0.8913106923687439,2271723,toniot_s43,toniot,43
balanced_random_e3_calibrated,0.730427221734472,0.8913106923687439,2271723,toniot_s43,toniot,43
balanced_random_e4_raw,0.7348380680564411,0.8859213909442304,2271723,toniot_s43,toniot,43
balanced_random_e4_calibrated,0.7348380680564411,0.8859213909442304,2271723,toniot_s43,toniot,43
balanced_random_fixed_region,0.7361229038796546,0.8846311808261835,2271723,toniot_s43,toniot,43
balanced_random_validation_region_reference,0.7411763057589198,0.8896797716975177,2271723,toniot_s43,toniot,43
balanced_random_region_constant,0.1034627044711542,0.1536124782819032,2271723,toniot_s43,toniot,43
global_raw,0.677526212082118,0.881648422805069,2271723,toniot_s44,toniot,44
global_calibrated,0.677526212082118,0.881648422805069,2271723,toniot_s44,toniot,44
designed_e1_raw,0.7280579377425038,0.8905601607238206,2271723,toniot_s44,toniot,44
designed_e1_calibrated,0.7280579377425038,0.8905601607238206,2271723,toniot_s44,toniot,44
designed_e2_raw,0.7106877671452219,0.8851528113242679,2271723,toniot_s44,toniot,44
designed_e2_calibrated,0.7106877671452219,0.8851528113242679,2271723,toniot_s44,toniot,44
designed_e3_raw,0.6763190240722399,0.8627323841859241,2271723,toniot_s44,toniot,44
designed_e3_calibrated,0.6763190240722399,0.8627323841859241,2271723,toniot_s44,toniot,44
designed_e4_raw,0.6963492617780596,0.8769475855991246,2271723,toniot_s44,toniot,44
designed_e4_calibrated,0.6963492617780596,0.8769475855991246,2271723,toniot_s44,toniot,44
designed_fixed_region,0.7011860310094733,0.8840298751212186,2271723,toniot_s44,toniot,44
designed_validation_region_reference,0.6887909348269899,0.8804268830310737,2271723,toniot_s44,toniot,44
designed_region_constant,0.054454889425141,0.1530736801978058,2271723,toniot_s44,toniot,44
matched_random_e1_raw,0.6821342053183946,0.8754051440250418,2271723,toniot_s44,toniot,44
matched_random_e1_calibrated,0.6821342053183946,0.8754051440250418,2271723,toniot_s44,toniot,44
matched_random_e2_raw,0.7128048070344264,0.8868004593869939,2271723,toniot_s44,toniot,44
matched_random_e2_calibrated,0.7128048070344264,0.8868004593869939,2271723,toniot_s44,toniot,44
matched_random_e3_raw,0.6960339879168376,0.8742474324554534,2271723,toniot_s44,toniot,44
matched_random_e3_calibrated,0.6960339879168376,0.8742474324554534,2271723,toniot_s44,toniot,44
matched_random_e4_raw,0.6963492617780596,0.8769475855991246,2271723,toniot_s44,toniot,44
matched_random_e4_calibrated,0.6963492617780596,0.8769475855991246,2271723,toniot_s44,toniot,44
matched_random_fixed_region,0.7060341680401465,0.8769682747412426,2271723,toniot_s44,toniot,44
matched_random_validation_region_reference,0.6856494417840285,0.8770743616189122,2271723,toniot_s44,toniot,44
matched_random_region_constant,0.054454889425141,0.1530736801978058,2271723,toniot_s44,toniot,44
balanced_random_e1_raw,0.7289938008753041,0.8905223039956897,2271723,toniot_s44,toniot,44
balanced_random_e1_calibrated,0.7289938008753041,0.8905223039956897,2271723,toniot_s44,toniot,44
balanced_random_e2_raw,0.7246149261761454,0.8869241540451895,2271723,toniot_s44,toniot,44
balanced_random_e2_calibrated,0.7246149261761454,0.8869241540451895,2271723,toniot_s44,toniot,44
balanced_random_e3_raw,0.7262184856939774,0.882895053666314,2271723,toniot_s44,toniot,44
balanced_random_e3_calibrated,0.7262184856939774,0.882895053666314,2271723,toniot_s44,toniot,44
balanced_random_e4_raw,0.719505860141153,0.8877407148670855,2271723,toniot_s44,toniot,44
balanced_random_e4_calibrated,0.719505860141153,0.8877407148670855,2271723,toniot_s44,toniot,44
balanced_random_fixed_region,0.7333371844316072,0.8864861605046038,2271723,toniot_s44,toniot,44
balanced_random_validation_region_reference,0.7289938008753041,0.8905223039956897,2271723,toniot_s44,toniot,44
balanced_random_region_constant,0.054454889425141,0.1530736801978058,2271723,toniot_s44,toniot,44
