dataset,model,count,mean,std,min,max
cic2018,balanced_random_e1_calibrated,1,0.7618495241981129,,0.7618495241981129,0.7618495241981129
cic2018,balanced_random_e1_raw,1,0.7618495241981129,,0.7618495241981129,0.7618495241981129
cic2018,balanced_random_e2_calibrated,1,0.7089438501573416,,0.7089438501573416,0.7089438501573416
cic2018,balanced_random_e2_raw,1,0.7089438501573416,,0.7089438501573416,0.7089438501573416
cic2018,balanced_random_e3_calibrated,1,0.7049024589351449,,0.7049024589351449,0.7049024589351449
cic2018,balanced_random_e3_raw,1,0.7049024589351449,,0.7049024589351449,0.7049024589351449
cic2018,balanced_random_e4_calibrated,1,0.7044885827497213,,0.7044885827497213,0.7044885827497213
cic2018,balanced_random_e4_raw,1,0.7044885827497213,,0.7044885827497213,0.7044885827497213
cic2018,balanced_random_fixed_region,1,0.753448273056753,,0.753448273056753,0.753448273056753
cic2018,balanced_random_region_constant,1,0.4193166976586117,,0.4193166976586117,0.4193166976586117
cic2018,balanced_random_validation_region_reference,1,0.7643579977744039,,0.7643579977744039,0.7643579977744039
cic2018,designed_e1_calibrated,1,0.7775824794717119,,0.7775824794717119,0.7775824794717119
cic2018,designed_e1_raw,1,0.7775824794717119,,0.7775824794717119,0.7775824794717119
cic2018,designed_e2_calibrated,1,0.7074501163320113,,0.7074501163320113,0.7074501163320113
cic2018,designed_e2_raw,1,0.7074501163320113,,0.7074501163320113,0.7074501163320113
cic2018,designed_e3_calibrated,1,0.6989435589444151,,0.6989435589444151,0.6989435589444151
cic2018,designed_e3_raw,1,0.6989435589444151,,0.6989435589444151,0.6989435589444151
cic2018,designed_e4_calibrated,1,0.7046600619996478,,0.7046600619996478,0.7046600619996478
cic2018,designed_e4_raw,1,0.7046600619996478,,0.7046600619996478,0.7046600619996478
cic2018,designed_fixed_region,1,0.7461500013352235,,0.7461500013352235,0.7461500013352235
cic2018,designed_region_constant,1,0.4193166976586117,,0.4193166976586117,0.4193166976586117
cic2018,designed_validation_region_reference,1,0.7828682734120184,,0.7828682734120184,0.7828682734120184
cic2018,global_calibrated,1,0.782879636521623,,0.782879636521623,0.782879636521623
cic2018,global_raw,1,0.782879636521623,,0.782879636521623,0.782879636521623
cic2018,matched_random_e1_calibrated,1,0.780566188993831,,0.780566188993831,0.780566188993831
cic2018,matched_random_e1_raw,1,0.780566188993831,,0.780566188993831,0.780566188993831
cic2018,matched_random_e2_calibrated,1,0.7080792520407461,,0.7080792520407461,0.7080792520407461
cic2018,matched_random_e2_raw,1,0.7080792520407461,,0.7080792520407461,0.7080792520407461
cic2018,matched_random_e3_calibrated,1,0.6959158239996858,,0.6959158239996858,0.6959158239996858
cic2018,matched_random_e3_raw,1,0.6959158239996858,,0.6959158239996858,0.6959158239996858
cic2018,matched_random_e4_calibrated,1,0.7053218546443245,,0.7053218546443245,0.7053218546443245
cic2018,matched_random_e4_raw,1,0.7053218546443245,,0.7053218546443245,0.7053218546443245
cic2018,matched_random_fixed_region,1,0.7490348362435327,,0.7490348362435327,0.7490348362435327
cic2018,matched_random_region_constant,1,0.4193166976586117,,0.4193166976586117,0.4193166976586117
cic2018,matched_random_validation_region_reference,1,0.7828833074942905,,0.7828833074942905,0.7828833074942905
toniot,balanced_random_e1_calibrated,2,0.7350850533171119,0.008614331815042908,0.7289938008753041,0.7411763057589198
toniot,balanced_random_e1_raw,2,0.7350850533171119,0.008614331815042908,0.7289938008753041,0.7411763057589198
toniot,balanced_random_e2_calibrated,2,0.7264133363224107,0.0025433360195576986,0.7246149261761454,0.7282117464686759
toniot,balanced_random_e2_raw,2,0.7264133363224107,0.0025433360195576986,0.7246149261761454,0.7282117464686759
toniot,balanced_random_e3_calibrated,2,0.7283228537142248,0.002976025794458029,0.7262184856939774,0.730427221734472
toniot,balanced_random_e3_raw,2,0.7283228537142248,0.002976025794458029,0.7262184856939774,0.730427221734472
toniot,balanced_random_e4_calibrated,2,0.727171964098797,0.010841508187462242,0.719505860141153,0.7348380680564411
toniot,balanced_random_e4_raw,2,0.727171964098797,0.010841508187462242,0.719505860141153,0.7348380680564411
toniot,balanced_random_fixed_region,2,0.7347300441556309,0.0019698011121975605,0.7333371844316072,0.7361229038796546
toniot,balanced_random_region_constant,2,0.0789587969481476,0.03465375835017205,0.054454889425141,0.1034627044711542
toniot,balanced_random_validation_region_reference,2,0.7350850533171119,0.008614331815042908,0.7289938008753041,0.7411763057589198
toniot,designed_e1_calibrated,2,0.7326941176591587,0.0065565485157350984,0.7280579377425038,0.7373302975758136
toniot,designed_e1_raw,2,0.7326941176591587,0.0065565485157350984,0.7280579377425038,0.7373302975758136
toniot,designed_e2_calibrated,2,0.7122298452883907,0.0021808278243085322,0.7106877671452219,0.7137719234315596
toniot,designed_e2_raw,2,0.7122298452883907,0.0021808278243085322,0.7106877671452219,0.7137719234315596
toniot,designed_e3_calibrated,2,0.7031795506038012,0.03798652091341641,0.6763190240722399,0.7300400771353626
toniot,designed_e3_raw,2,0.7031795506038012,0.03798652091341641,0.6763190240722399,0.7300400771353626
toniot,designed_e4_calibrated,2,0.6789788490451032,0.02456547327096519,0.6616084363121468,0.6963492617780596
toniot,designed_e4_raw,2,0.6789788490451032,0.02456547327096519,0.6616084363121468,0.6963492617780596
toniot,designed_fixed_region,2,0.710673467661965,0.01341726158610942,0.7011860310094733,0.7201609043144568
toniot,designed_region_constant,2,0.0789587969481476,0.03465375835017205,0.054454889425141,0.1034627044711542
toniot,designed_validation_region_reference,2,0.6948667741502597,0.00859253437376784,0.6887909348269899,0.7009426134735295
toniot,global_calibrated,2,0.6767630802127702,0.001079231439510893,0.6759999483434223,0.677526212082118
toniot,global_raw,2,0.6767630802127702,0.001079231439510893,0.6759999483434223,0.677526212082118
toniot,matched_random_e1_calibrated,2,0.710788575127882,0.04052339840583117,0.6821342053183946,0.7394429449373694
toniot,matched_random_e1_raw,2,0.710788575127882,0.04052339840583117,0.6821342053183946,0.7394429449373694
toniot,matched_random_e2_calibrated,2,0.7126742047615839,0.00018469950553054486,0.7125436024887415,0.7128048070344264
toniot,matched_random_e2_raw,2,0.7126742047615839,0.00018469950553054486,0.7125436024887415,0.7128048070344264
toniot,matched_random_e3_calibrated,2,0.7130370325261001,0.024045936288053765,0.6960339879168376,0.7300400771353626
toniot,matched_random_e3_raw,2,0.7130370325261001,0.024045936288053765,0.6960339879168376,0.7300400771353626
toniot,matched_random_e4_calibrated,2,0.7114687764139287,0.021382222654544678,0.6963492617780596,0.7265882910497979
toniot,matched_random_e4_raw,2,0.7114687764139287,0.021382222654544678,0.6963492617780596,0.7265882910497979
toniot,matched_random_fixed_region,2,0.723110328141367,0.02414933720840033,0.7060341680401465,0.7401864882425875
toniot,matched_random_region_constant,2,0.0789587969481476,0.03465375835017205,0.054454889425141,0.1034627044711542
toniot,matched_random_validation_region_reference,2,0.7076804873736458,0.031156603466096586,0.6856494417840285,0.7297115329632629
