class,support,owned_expert,primary_bottleneck,baseline_recall,moe_recall,baseline_f1,moe_f1,delta_f1,all_reject_rate,owned_accept_rate,owned_selected_rate,wrong_expert_selected_rate,local_acc_given_owned_selected,selected_but_wrong_rate,selected_minus_recall,multi_accept_rate,stability_tiebreak_rate,mean_owned_margin,mean_owned_stability,mean_owned_local_conf
dos-goldeneye,2059,DoS_DDoS,gate_reject,0.9985429820301117,0.9169499757163672,0.9894128970163619,0.9564336372847011,-0.032979259731660826,0.08207867897037396,0.917921321029626,0.917921321029626,0.0,0.9989417989417989,0.0009713453132588635,0.0009713453132588201,0.0,0.0,0.043571215122938156,0.9690357446670532,0.999351978302002
ssh-patator,1179,Scan_Brute,gate_reject,1.0,0.9117896522476675,0.9995760915642221,0.9538598047914818,-0.04571628677274031,0.08821034775233248,0.9117896522476675,0.9117896522476675,0.0,1.0,0.0,0.0,0.0,0.0,-0.12982703745365143,0.9888353943824768,0.9999696612358093
dos-slowloris,1159,DoS_DDoS,gate_reject,0.996548748921484,0.6177739430543572,0.9888698630136986,0.7637333333333334,-0.22513652968036524,0.3822260569456428,0.6177739430543572,0.6177739430543572,0.0,1.0,0.0,0.0,0.0,0.0,-0.39277422428131104,0.5756779909133911,0.9967014789581299
dos-slowhttptest,1100,DoS_DDoS,gate_reject,0.990909090909091,0.7554545454545455,0.9873188405797102,0.8562596599690881,-0.13105918061062205,0.24272727272727274,0.7554545454545455,0.7554545454545455,0.0018181818181818182,1.0,0.0018181818181818182,0.0,0.0,0.0,-0.3857448697090149,0.5643795728683472,0.9978215098381042
bot,393,WebBot_Rare,gate_reject,0.989821882951654,0.9287531806615776,0.790650406504065,0.7790821771611526,-0.011568229342912462,0.07124681933842239,0.9287531806615776,0.9287531806615776,0.0,1.0,0.0,0.0,0.0,0.0,0.03672253340482712,0.9933308362960815,0.9988131523132324
web-attack-�-xss,130,WebBot_Rare,gate_reject,0.5230769230769231,0.5230769230769231,0.44299674267100975,0.4594594594594595,0.01646271678844974,0.07692307692307693,0.9230769230769231,0.9230769230769231,0.0,0.5666666666666667,0.4,0.4,0.0,0.0,-0.14779458940029144,0.8319557905197144,0.7023429274559021
infiltration,7,WebBot_Rare,gate_reject,1.0,0.42857142857142855,0.9333333333333333,0.6,-0.33333333333333337,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,0.0,-0.02234514430165291,0.9991440176963806,0.9984973073005676
web-attack-�-sql-injection,4,WebBot_Rare,gate_reject,0.25,0.0,0.25,0.0,-0.25,0.5,0.5,0.25,0.25,0.0,0.5,0.25,0.25,0.25,-0.14460451900959015,0.5882967710494995,0.9616090059280396
heartbleed,2,WebBot_Rare,gate_reject,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.198385089635849,0.6263078451156616,0.999081015586853
web-attack-�-brute-force,302,WebBot_Rare,local_classifier,0.7019867549668874,0.6721854304635762,0.729776247848537,0.7237076648841355,-0.006068582964401492,0.009933774834437087,0.9900662251655629,0.9900662251655629,0.0,0.6789297658862876,0.31788079470198677,0.3178807947019867,0.0,0.0,0.08913054317235947,0.899736225605011,0.7619855403900146
benign,454537,benign_default,ok,0.9987217762250378,0.9992717864552281,0.999346179331782,0.9942800102447578,-0.005066169087024286,0.9992717864552281,,,0.0007282135447719328,,0.0007282135447719328,,0.0,0.0,,,
dos-hulk,46025,DoS_DDoS,ok,0.999369907658881,0.9538077131993482,0.9986213484731705,0.9763143848412063,-0.02230696363196427,0.04617055947854427,0.9538077131993482,0.9538077131993482,2.1727322107550245e-05,1.0,2.1727322107550245e-05,0.0,0.0,0.0,0.2152862697839737,0.6761605739593506,0.9997219443321228
portscan,31786,Scan_Brute,ok,0.9996853960863273,0.9511734725979991,0.9966283500870357,0.9727642734190248,-0.023864076668010825,0.04876360661926634,0.9511734725979991,0.9511734725979991,6.292078273453722e-05,1.0,6.292078273453722e-05,0.0,0.0,0.0,0.020440272986888885,0.8978064060211182,0.9999798536300659
ddos,25606,DoS_DDoS,ok,0.9999609466531282,0.9954698117628681,0.999648629655657,0.9977297635822765,-0.001918866073380543,0.004530188237131922,0.9954698117628681,0.9954698117628681,0.0,1.0,0.0,0.0,0.0,0.0,0.24620339274406433,0.3427378833293915,0.9999482035636902
ftp-patator,1588,Scan_Brute,ok,0.9993702770780857,0.9540302267002518,0.9993702770780857,0.9764743796326136,-0.022895897445472047,0.04534005037783375,0.9540302267002518,0.9540302267002518,0.0006297229219143577,1.0,0.0006297229219143577,0.0,0.0,0.0,-0.01903749629855156,0.3909624516963959,0.9999844431877136
