class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.9999713636834233,0.9893378581183662,0.9987217762250378,0.9992717864552281,0.999346179331782,0.9942800102447578,-0.005066169087024286
dos-hulk,46025,0.9978739098364212,0.9999088900530716,0.999369907658881,0.9538077131993482,0.9986213484731705,0.9763143848412063,-0.02230696363196427
portscan,31786,0.9935899440292674,0.995358024691358,0.9996853960863273,0.9511734725979991,0.9966283500870357,0.9727642734190248,-0.023864076668010825
ddos,25606,0.999336507688705,1.0,0.9999609466531282,0.9954698117628681,0.999648629655657,0.9977297635822765,-0.001918866073380543
dos-goldeneye,2059,0.9804482594182165,0.9994706193753309,0.9985429820301117,0.9169499757163672,0.9894128970163619,0.9564336372847011,-0.032979259731660826
ftp-patator,1588,0.9993702770780857,1.0,0.9993702770780857,0.9540302267002518,0.9993702770780857,0.9764743796326136,-0.022895897445472047
ssh-patator,1179,0.9991525423728813,1.0,1.0,0.9117896522476675,0.9995760915642221,0.9538598047914818,-0.04571628677274031
dos-slowloris,1159,0.9813084112149533,1.0,0.996548748921484,0.6177739430543572,0.9888698630136986,0.7637333333333334,-0.22513652968036524
dos-slowhttptest,1100,0.983754512635379,0.9881093935790726,0.990909090909091,0.7554545454545455,0.9873188405797102,0.8562596599690881,-0.13105918061062205
bot,393,0.6582064297800339,0.6709558823529411,0.989821882951654,0.9287531806615776,0.790650406504065,0.7790821771611526,-0.011568229342912462
web-attack-�-brute-force,302,0.7598566308243727,0.7837837837837838,0.7019867549668874,0.6721854304635762,0.729776247848537,0.7237076648841355,-0.006068582964401492
web-attack-�-xss,130,0.384180790960452,0.40963855421686746,0.5230769230769231,0.5230769230769231,0.44299674267100975,0.4594594594594595,0.01646271678844974
infiltration,7,0.875,1.0,1.0,0.42857142857142855,0.9333333333333333,0.6,-0.33333333333333337
web-attack-�-sql-injection,4,0.25,0.0,0.25,0.0,0.25,0.0,-0.25
heartbleed,2,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
macro avg,565877,0.8574699719681461,0.7891042004113861,0.8965329791038407,0.7072205393308092,0.8737032804771113,0.734006569906882,-0.13969671057022937
weighted avg,565877,0.9987555980715226,0.9906523689208542,0.9985897995500789,0.9904855648842417,0.9986450883045355,0.9903218124847732,-0.008323275819762221
