expert,class_id,threshold,score_scale,local_prior
DoS_DDoS,2,0.9964712858200073,0.012623555958271027,0.3371444344520569
DoS_DDoS,3,0.9964712858200073,0.012623555958271027,0.027106383815407753
DoS_DDoS,4,0.9964712858200073,0.012623555958271027,0.6060050129890442
DoS_DDoS,5,0.9964712858200073,0.012623555958271027,0.014479268342256546
DoS_DDoS,6,0.9964712858200073,0.012623555958271027,0.015264897607266903
Scan_Brute,7,0.9992151260375977,0.014297082088887691,0.04594873636960983
Scan_Brute,10,0.9992151260375977,0.014297082088887691,0.9199201464653015
Scan_Brute,11,0.9992151260375977,0.014297082088887691,0.03413114324212074
WebBot_Rare,1,0.9896403551101685,0.07989215105772018,0.46860095858573914
WebBot_Rare,8,0.9896403551101685,0.07989215105772018,0.0027821939438581467
WebBot_Rare,9,0.9896403551101685,0.07989215105772018,0.008744037710130215
WebBot_Rare,12,0.9896403551101685,0.07989215105772018,0.3593004643917084
WebBot_Rare,13,0.9896403551101685,0.07989215105772018,0.005166931543499231
WebBot_Rare,14,0.9896403551101685,0.07989215105772018,0.15540540218353271
