true_class,support,all_reject_rate,DoS_DDoS_accept_rate,DoS_DDoS_selected_rate,DoS_DDoS_margin,DoS_DDoS_stability,Scan_Brute_accept_rate,Scan_Brute_selected_rate,Scan_Brute_margin,Scan_Brute_stability,WebBot_Rare_accept_rate,WebBot_Rare_selected_rate,WebBot_Rare_margin,WebBot_Rare_stability
benign,454537,0.9992717864552281,2.4200450128372386e-05,2.4200450128372386e-05,-78.836181640625,0.49285563826560974,0.0003102057698273188,0.0003102057698273188,-69.8428955078125,0.9020152688026428,0.0003938073248162416,0.0003938073248162416,-12.316788673400879,0.8961608409881592
bot,393,0.07124681933842239,0.0,0.0,-78.93313598632812,0.4658849537372589,0.0,0.0,-69.86712646484375,0.9407615065574646,0.9287531806615776,0.9287531806615776,0.03672253340482712,0.9933308362960815
ddos,25606,0.004530188237131922,0.9954698117628681,0.9954698117628681,0.24620339274406433,0.3427378833293915,0.0,0.0,-69.88587951660156,0.9029307961463928,0.0,0.0,-12.379132270812988,0.5964198708534241
dos-goldeneye,2059,0.08207867897037396,0.917921321029626,0.917921321029626,0.043571215122938156,0.9690357446670532,0.0,0.0,-69.7646713256836,0.931537926197052,0.0,0.0,-11.838113784790039,0.7514383792877197
dos-hulk,46025,0.04617055947854427,0.9538077131993482,0.9538077131993482,0.2152862697839737,0.6761605739593506,0.0,0.0,-69.7682876586914,0.9078012108802795,2.1727322107550245e-05,2.1727322107550245e-05,-12.330727577209473,0.7853552103042603
dos-slowhttptest,1100,0.24272727272727274,0.7554545454545455,0.7554545454545455,-0.3857448697090149,0.5643795728683472,0.0,0.0,-69.78638458251953,0.9293802976608276,0.0018181818181818182,0.0018181818181818182,-11.62888240814209,0.9637125134468079
dos-slowloris,1159,0.3822260569456428,0.6177739430543572,0.6177739430543572,-0.39277422428131104,0.5756779909133911,0.0,0.0,-69.6924057006836,0.9134672284126282,0.0,0.0,-12.087539672851562,0.8675958514213562
ftp-patator,1588,0.04534005037783375,0.0,0.0,-78.87248992919922,0.43687766790390015,0.9540302267002518,0.9540302267002518,-0.01903749629855156,0.3909624516963959,0.0006297229219143577,0.0006297229219143577,-12.36291217803955,0.8693441152572632
heartbleed,2,1.0,0.0,0.0,-78.6373291015625,0.7607647180557251,0.0,0.0,-69.8711166381836,0.9047180414199829,0.0,0.0,-0.198385089635849,0.6263078451156616
infiltration,7,0.5714285714285714,0.0,0.0,-78.93254089355469,0.550311267375946,0.0,0.0,-69.88551330566406,0.9802659153938293,0.42857142857142855,0.42857142857142855,-0.02234514430165291,0.9991440176963806
portscan,31786,0.04876360661926634,3.146039136726861e-05,3.146039136726861e-05,-78.90095520019531,0.3544270992279053,0.9511734725979991,0.9511734725979991,0.020440272986888885,0.8978064060211182,3.146039136726861e-05,3.146039136726861e-05,-12.355998992919922,0.8664318323135376
ssh-patator,1179,0.08821034775233248,0.0,0.0,-78.91856384277344,0.4742346704006195,0.9117896522476675,0.9117896522476675,-0.12982703745365143,0.9888353943824768,0.0,0.0,-11.832082748413086,0.9598367214202881
web-attack-�-brute-force,302,0.009933774834437087,0.0,0.0,-76.35931396484375,0.4135296642780304,0.0,0.0,-65.59253692626953,0.9321978092193604,0.9900662251655629,0.9900662251655629,0.08913054317235947,0.899736225605011
web-attack-�-sql-injection,4,0.5,0.25,0.25,-41.45771408081055,0.7310687899589539,0.0,0.0,-69.57037353515625,0.900071382522583,0.5,0.25,-0.14460451900959015,0.5882967710494995
web-attack-�-xss,130,0.07692307692307693,0.0,0.0,-74.45811462402344,0.36724376678466797,0.0,0.0,-65.97637939453125,0.9345017671585083,0.9230769230769231,0.9230769230769231,-0.14779458940029144,0.8319557905197144
