true_class,Benign,DoS,DDoS_Scan,BruteForce,WebBot,Tail
benign,0.19248738065704282,0.14691976311002322,0.18846634261188275,0.19526068026093477,0.1397862973791241,0.13707953598098974
dos-hulk,0.1565684838909908,0.1848104074300806,0.19170497437547518,0.19601742740482103,0.1288282817095067,0.14207042518912477
portscan,0.14345530461094577,0.15505825697181846,0.1996995933805783,0.20543322622195084,0.15989344232834388,0.13646017648636266
ddos,0.16097718180606632,0.17512594012499452,0.20269743106352966,0.2021831811436538,0.12733824676448138,0.13167801909727356
dos-goldeneye,0.1518606260640805,0.17378393873464615,0.19064283842263374,0.19601323048545258,0.1346592665908024,0.15304009970238538
ftp-patator,0.14903650480657946,0.15108000152607293,0.19521584523576024,0.20299010516495714,0.1451267561360371,0.15655078713059276
ssh-patator,0.14780607545506708,0.14364140547980384,0.19909568717452983,0.20720008905476467,0.14311860674199728,0.1591381360938367
dos-slowloris,0.14743365053580484,0.16934198440462025,0.19102335371788115,0.19907631637008485,0.1392332863839067,0.15389140858770203
dos-slowhttptest,0.14436992563921375,0.16336427821288343,0.1938032260549737,0.2027930495629577,0.13945253220597945,0.15621698832399206
bot,0.14119173259673426,0.15168628251588773,0.1908447813687415,0.19987444814101352,0.1719656293960139,0.14443712598160938
web-attack-�-brute-force,0.14261014039409395,0.14960489645776032,0.19812621745070796,0.20762866485160666,0.14298151300978984,0.15904856783604152
web-attack-�-xss,0.1435685523652593,0.148317241897816,0.1987453930021393,0.20910424580527437,0.1393828301498717,0.1608817367796392
infiltration,0.1484604421322577,0.13666094710691692,0.20885361060366558,0.21423969165943196,0.13355376591249749,0.15823154258523034
web-attack-�-sql-injection,0.14577263140862548,0.15987635619373441,0.19375770042725354,0.2027993215877587,0.14102660087802324,0.15676738950460453
heartbleed,0.14741951002400788,0.15146638696228604,0.20946401853198077,0.21852132156309767,0.15229341332869722,0.12083534958993031
