expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,1894337,12761,186000,104106,20627,0,60223,0,1044,0
2,21078,12761,21078,0,0,0,0,21078,0,0
3,15507,12761,15507,0,0,0,0,0,15507,0
4,42173,12761,42173,24,0,39579,0,448,2122,0
5,140,12761,140,0,0,0,0,0,0,140
