class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3493517,0,278,9131,0
bot,41542,41415,2,0,125,0
brute_force,115040,77344,0,0,37696,0
ddos,264872,217328,4839,6,42699,937
dos,60594,19496,10270,0,30828,3599
infiltration,37631,11945,51,0,25635,0
web_attacks,509,224,19,0,266,3
