expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.7101,0.0548,3.7392
2,0.5387,0.0094,10.8285
3,0.6714,0.0025,4.8903
4,0.7486,0.002,7.9473
5,0.5169,0.0,5.9083
