expert,accepted,helpful,harmful,precision,net
1,64,14,1,0.9333,13
2,4941,4766,59,0.9878,4707
3,4847,1971,45,0.9777,1926
4,13185,7782,84,0.9893,7698
5,10952,648,95,0.8721,553
