a,b,agreement
global,e1,0.7352
global,e2,0.563
global,e3,0.4844
global,e4,0.5405
global,e5,0.5242
e1,e2,0.7476
e1,e3,0.6809
e1,e4,0.7249
e1,e5,0.721
e2,e3,0.8128
e2,e4,0.9583
e2,e5,0.8422
e3,e4,0.8372
e3,e5,0.9298
e4,e5,0.8679
