a,b,gain_pearson_r
e1,e2,0.7349
e1,e3,0.7645
e1,e4,0.7432
e1,e5,0.7745
e2,e3,0.9571
e2,e4,0.9938
e2,e5,0.9773
e3,e4,0.9576
e3,e5,0.9866
e4,e5,0.9765
