expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.8303,5055,29254,0.6638,0.1807
2,202122,0.6626,48300,19897,0.5476,-0.0549
3,202122,0.6161,933,76668,0.8142,0.0055
4,202122,0.6625,2715,65502,0.7669,0.0006
5,202122,0.6641,52788,15098,0.4998,-0.0216
