K,beta,tune_expert_balanced_nll
2,0.0,2.679414
2,0.5,4.565091
2,1.0,8.72466
4,0.0,1.88888
4,0.5,3.625869
4,1.0,7.585435
8,0.0,2.260632
8,0.5,3.510355
8,1.0,6.881709
