class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,131308,111596,-19712,3493795,3493517
bot,4,9,5,41415,41417
brute_force,21110,21110,0,77344,77344
ddos,11,12,1,217334,222167
dos,2,36,34,19496,29766
infiltration,7048,7672,624,11945,11996
web_attacks,2078,6229,4151,224,243
