method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.6847,0.657,0.0271,0.002686
global_tabpfn,4023114,0.6523,0.6366,0.0241,0.002607
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
