id_quantile_tau,threshold,id_retain,ood_detect,ood_in
0.01,4.515558242797852,0.99,0.2816533497234173,0.7183466502765826
0.02,4.944150924682617,0.98,0.43062384757221883,0.5693761524277812
0.05,5.793456554412842,0.95,0.6605331899200984,0.33946681007990165
0.1,6.741106033325195,0.9,0.8211047940995697,0.17889520590043023
0.2,7.9315972328186035,0.8,0.9280500921942225,0.07194990780577751
0.3,8.473771095275879,0.7,0.9564382298709281,0.04356177012907191
0.4,8.837386131286621,0.6,0.9682698217578365,0.03173017824216349
0.5,9.13412094116211,0.5,0.9774508297480025,0.02254917025199754
0.6,9.416900634765625,0.4,0.9837891825445605,0.01621081745543946
0.7,9.705911636352539,0.3,0.9886677934849416,0.01133220651505839
0.8,10.059006690979004,0.2,0.9928165334972342,0.007183466502765827
0.9,10.554537773132324,0.1,0.9970421020282729,0.002957897971727105
