expert_idx,expert_name,selected_rate,avg_weight,val_acc,assigned_classes
0,Anchor_Global,0.004141081174861135,0.016617320477962494,0.999450373038893,"2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14"
1,Balanced_Global,0.027137449196385655,0.03485066071152687,0.9984599561386801,"2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14"
2,Tail_Expert,0.005123734709143087,0.026425864547491074,0.9994198877608929,"6, 7, 9, 11, 12, 13, 14"
3,Spec_Group1_volume,0.0062173100606088185,0.013288438320159912,0.9117875936678621,"2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14"
4,Spec_Group2_timing,0.049506682328448036,0.06051008403301239,0.7992120199607098,"2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14"
5,Spec_Group3_packet,0.10229409071129326,0.23963084816932678,0.8830709454127916,"2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14"
6,Spec_Group4_tcp,0.0012016530194909542,0.014281211420893669,0.8728301969031611,"2, 3, 4, 5, 6, 9, 11"
7,Rand_1_volume,0.0015457950676765293,0.02656605653464794,0.9749934409025318,"2, 3, 4, 5, 6, 9"
8,Rand_2_packet,0.6826910770508449,0.38041409850120544,0.9162749207843309,"3, 4, 5, 6, 7, 9, 11, 12, 14"
9,Rand_3_volume,0.12014112668124767,0.1874154508113861,0.932712605548854,"5, 6, 9, 11, 12, 13, 14"
