context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.870702,0.010325,0.028595,0.065837,0.015061,0.009353,0.000126
C0,0.870697,0.010326,0.028596,0.065838,0.015062,0.009355,0.000127
expert1,0.042552,0.037642,0.762952,0.037642,0.037642,0.067234,0.014335
expert2,0.069787,0.069787,0.069787,0.069787,0.069787,0.62449,0.026576
expert3,0.155357,0.155357,0.155357,0.155357,0.155357,0.155357,0.067857
expert4,0.151902,0.151902,0.151902,0.182646,0.151902,0.151902,0.057846
expert5,0.649622,0.113373,0.018771,0.128275,0.069875,0.01625,0.003834
