expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.6518,0.2445,6.358
2,0.2242,0.001,15.0905
3,0.3637,0.0404,9.682
4,0.0713,0.0,38.7097
5,0.3704,0.0169,4.1573
