expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9227,8663,6964,0.7797,0.2804
2,202121,normgain,0.9505,697,9301,0.5463,0.6175
3,202121,normgain,0.9517,438,9330,0.7527,0.4048
4,202121,normgain,0.9679,24,6458,0.7549,0.304
5,202121,normgain,0.7838,589,43102,0.7435,0.6517
