K,beta,tune_expert_balanced_nll
2,0.0,1.612679
2,0.5,3.043302
2,1.0,6.156444
4,0.0,1.274566
4,0.5,2.773131
4,1.0,6.214363
8,0.0,1.172923
8,0.5,3.10414
8,1.0,7.110847
