expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,40390,12761,40390,261,0,38556,0,0,1573,0
2,15905,12761,15905,0,0,0,0,0,15905,0
3,112,12761,112,0,0,0,0,0,0,112
4,405,12761,405,0,0,0,405,0,0,0
5,1931287,12761,186000,127123,20534,1730,23496,11888,1229,0
