class,calibration,true_expert,correct_activation,act_benign,act_flood,act_bf_bot,act_tail
benign,raw,benign,0.95876,0.9588,0.0001,0.0,0.0411
benign,cal,benign,0.69906,0.6991,0.0,0.0,0.3009
bot,raw,bf_bot,0.9969669250397188,0.0001,0.0,0.997,0.0029
bot,cal,bf_bot,0.9860622983968033,0.001,0.0,0.9861,0.013
brute_force,raw,bf_bot,0.9998,0.0,0.0,0.9998,0.0002
brute_force,cal,bf_bot,0.32614,0.0,0.6726,0.3261,0.0013
ddos,raw,flood,0.99404,0.0054,0.994,0.0,0.0006
ddos,cal,flood,0.97716,0.0091,0.9772,0.0,0.0137
dos,raw,flood,0.63674,0.0094,0.6367,0.3472,0.0066
dos,cal,flood,0.97218,0.0095,0.9722,0.0,0.0183
infiltration,raw,tail,0.3510669394913768,0.6472,0.001,0.0008,0.3511
infiltration,cal,tail,0.7131885945098456,0.2865,0.0002,0.0001,0.7132
web_attacks,raw,tail,0.9155206286836935,0.0589,0.0255,0.0,0.9155
web_attacks,cal,tail,0.9332023575638507,0.0472,0.0196,0.0,0.9332
