model,macro_f1,accuracy,rows
global_raw,0.6759999483434223,0.897689991253335,2271723
global_calibrated,0.6759999483434223,0.897689991253335,2271723
designed_e1_raw,0.7373302975758136,0.8907476835864232,2271723
designed_e1_calibrated,0.7373302975758136,0.8907476835864232,2271723
designed_e2_raw,0.7137719234315596,0.879680753331282,2271723
designed_e2_calibrated,0.7137719234315596,0.879680753331282,2271723
designed_e3_raw,0.7300400771353626,0.8963302304022102,2271723
designed_e3_calibrated,0.7300400771353626,0.8963302304022102,2271723
designed_e4_raw,0.6616084363121468,0.8199256687545092,2271723
designed_e4_calibrated,0.6616084363121468,0.8199256687545092,2271723
designed_fixed_region,0.7201609043144568,0.8832577739451509,2271723
designed_validation_region_reference,0.7009426134735295,0.8780898903607526,2271723
designed_region_constant,0.10346270447115427,0.15361247828190322,2271723
