beta,T,tune_balanced_nll
0.0,0.8,3.277935
0.0,1.0,2.821913
0.0,1.25,2.54567
0.5,0.8,4.572381
0.5,1.0,3.858053
0.5,1.25,3.38183
1.0,0.8,6.249942
1.0,1.0,5.23834
1.0,1.25,4.523656
