model,grouping,groups,replicates,delta_macro_f1_low,delta_macro_f1_high
global_calibrated,exact_vector,1025762,200,0.0,0.0
global_calibrated,time_block,54,200,0.0,0.0
designed_e1_raw,exact_vector,1025762,200,0.0558435511928832,0.06499696179160655
designed_e1_raw,time_block,54,200,-0.012730357197447681,0.08529131719783709
designed_e1_calibrated,exact_vector,1025762,200,0.0558435511928832,0.06499696179160655
designed_e1_calibrated,time_block,54,200,-0.012730357197447681,0.08529131719783709
designed_e2_raw,exact_vector,1025762,200,0.03382295699281131,0.04100359429858471
designed_e2_raw,time_block,54,200,-0.03216201702290661,0.0665621749579969
designed_e2_calibrated,exact_vector,1025762,200,0.03382295699281131,0.04100359429858471
designed_e2_calibrated,time_block,54,200,-0.03216201702290661,0.0665621749579969
designed_e3_raw,exact_vector,1025762,200,0.051366960712135215,0.0561700517534101
designed_e3_raw,time_block,54,200,-0.020175530036552217,0.0696990314547874
designed_e3_calibrated,exact_vector,1025762,200,0.051366960712135215,0.0561700517534101
designed_e3_calibrated,time_block,54,200,-0.020175530036552217,0.0696990314547874
designed_e4_raw,exact_vector,1025762,200,-0.030796375125035875,-0.0001566779320516016
designed_e4_raw,time_block,54,200,-0.09872518196908818,0.05179333900759228
designed_e4_calibrated,exact_vector,1025762,200,-0.030796375125035875,-0.0001566779320516016
designed_e4_calibrated,time_block,54,200,-0.09872518196908818,0.05179333900759228
matched_random_e1_raw,exact_vector,1025762,200,0.06106839324632769,0.06542061243103738
matched_random_e1_raw,time_block,54,200,-0.013134911549515346,0.07830048885833645
matched_random_e1_calibrated,exact_vector,1025762,200,0.06106839324632769,0.06542061243103738
matched_random_e1_calibrated,time_block,54,200,-0.013134911549515346,0.07830048885833645
matched_random_e2_raw,exact_vector,1025762,200,0.033535267750976455,0.03907713797012916
matched_random_e2_raw,time_block,54,200,-0.03457448649726659,0.0652202295332917
matched_random_e2_calibrated,exact_vector,1025762,200,0.033535267750976455,0.03907713797012916
matched_random_e2_calibrated,time_block,54,200,-0.03457448649726659,0.0652202295332917
matched_random_e3_raw,exact_vector,1025762,200,0.051366960712135215,0.0561700517534101
matched_random_e3_raw,time_block,54,200,-0.020175530036552217,0.0696990314547874
matched_random_e3_calibrated,exact_vector,1025762,200,0.051366960712135215,0.0561700517534101
matched_random_e3_calibrated,time_block,54,200,-0.020175530036552217,0.0696990314547874
matched_random_e4_raw,exact_vector,1025762,200,0.04721706268789774,0.052785433259495196
matched_random_e4_raw,time_block,54,200,-0.03680376845913726,0.07196306120759487
matched_random_e4_calibrated,exact_vector,1025762,200,0.04721706268789774,0.052785433259495196
matched_random_e4_calibrated,time_block,54,200,-0.03680376845913726,0.07196306120759487
balanced_random_e1_raw,exact_vector,1025762,200,0.06171912415220872,0.06818221211231898
balanced_random_e1_raw,time_block,54,200,-0.017660105861000794,0.08760420076690273
balanced_random_e1_calibrated,exact_vector,1025762,200,0.06171912415220872,0.06818221211231898
balanced_random_e1_calibrated,time_block,54,200,-0.017660105861000794,0.08760420076690273
balanced_random_e2_raw,exact_vector,1025762,200,0.04905923811798978,0.055131424774250586
balanced_random_e2_raw,time_block,54,200,-0.026824494223791018,0.07667611345451673
balanced_random_e2_calibrated,exact_vector,1025762,200,0.04905923811798978,0.055131424774250586
balanced_random_e2_calibrated,time_block,54,200,-0.026824494223791018,0.07667611345451673
balanced_random_e3_raw,exact_vector,1025762,200,0.05176629476100859,0.05614473107643763
balanced_random_e3_raw,time_block,54,200,-0.029470666275600126,0.0764057559274739
balanced_random_e3_calibrated,exact_vector,1025762,200,0.05176629476100859,0.05614473107643763
balanced_random_e3_calibrated,time_block,54,200,-0.029470666275600126,0.0764057559274739
balanced_random_e4_raw,exact_vector,1025762,200,0.05668878207983653,0.06084983604063045
balanced_random_e4_raw,time_block,54,200,-0.022383145041411208,0.07813112564169895
balanced_random_e4_calibrated,exact_vector,1025762,200,0.05668878207983653,0.06084983604063045
balanced_random_e4_calibrated,time_block,54,200,-0.022383145041411208,0.07813112564169895
