expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.7077,1555,57535,0.7284,0.3288
2,202122,0.5452,4707,87225,0.7788,0.2179
3,202122,0.8052,4676,34695,0.8473,0.4096
