run,scope,rows,proposed,proposal_rate,accepted,accept_rate_of_proposed,rejected_calls,wasted_call_rate,calls_per_sample_nominal
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,ALL,4023114,164850,0.040976,30378,0.184277,134472,0.815723,1.040976
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,benign,3502926,14089,0.004022,1605,0.113919,12484,0.886081,1.004022
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,bot,41542,703,0.016923,6,0.008535,697,0.991465,1.016923
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,brute_force,115040,94610,0.82241,17266,0.182497,77344,0.817503,1.82241
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,ddos,264872,23704,0.089492,8573,0.361669,15131,0.638331,1.089492
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,dos,60594,31140,0.513912,2829,0.090848,28311,0.909152,1.513912
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,infiltration,37631,399,0.010603,68,0.170426,331,0.829574,1.010603
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,web_attacks,509,205,0.40275,31,0.15122,174,0.84878,1.40275
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,expert1,43605,43605,,24998,0.573283,18607,0.426717,
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,expert2,119015,119015,,5306,0.044583,113709,0.955417,
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,expert3,2230,2230,,74,0.033184,2156,0.966816,
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,MEASURED_COMPUTE,,,,,,,,2.0277
