class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,128821,101081,-27740,3493807,3493035
bot,4,4,0,41415,41415
brute_force,21110,21110,0,77344,77344
ddos,11,27,16,217763,226054
dos,2,44,42,21607,23606
infiltration,7037,25080,18043,11887,11895
web_attacks,2078,2164,86,228,255
