class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3493035,0,772,9119,0
bot,41542,41415,0,0,127,0
brute_force,115040,77344,0,0,37696,17258
ddos,264872,217763,8291,0,38818,103
dos,60594,21607,1999,0,36988,16
infiltration,37631,11887,8,0,25736,36
web_attacks,509,228,27,0,254,2
