expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,1400,0,1219,14,40,92,21,13,1
1,15579,1400,15579,0,0,0,0,0,15579,0
2,135,1400,135,0,0,0,0,0,0,135
3,1894609,1400,186000,119193,20602,0,44933,0,1272,0
