tau_pre,tau_post,proposal_rate,accepted,helpful,harmful,harm_frac,benign_fpr_added,net_gain,feasible
-5175.6396484375,0.0,1.0,47156,4235,372,0.0807,0.011538,1099673.1,False
-5175.6396484375,0.25,1.0,42945,4140,344,0.0767,0.01066,1058190.2,False
-5175.6396484375,0.5,1.0,42200,4097,323,0.0731,0.010002,1057300.4,False
-5175.6396484375,1.0,1.0,40871,3998,304,0.0707,0.009406,1060274.2,False
-5175.6396484375,2.0,1.0,40069,3915,273,0.0652,0.008434,1063569.7,False
-5175.6396484375,4.0,1.0,38896,3618,167,0.0441,0.005111,1059117.6,False
-5175.6396484375,8.0,1.0,36218,2825,105,0.0358,0.003292,1039288.3,False
1.025573492050171,0.0,0.6999,36254,2998,359,0.1069,0.01113,975022.4,False
1.025573492050171,0.25,0.6999,33776,2980,336,0.1013,0.010409,933790.1,False
1.025573492050171,0.5,0.6999,33436,2946,316,0.0969,0.009782,933276.3,False
1.025573492050171,1.0,0.6999,33036,2903,300,0.0937,0.00928,937734.2,False
1.025573492050171,2.0,0.6999,32731,2881,270,0.0857,0.00834,937218.8,False
1.025573492050171,4.0,0.6999,32368,2796,165,0.0557,0.005048,935815.6,False
1.025573492050171,8.0,0.6999,31595,2255,104,0.0441,0.003261,932050.1,False
8.858643531799316,0.0,0.5,30840,2173,197,0.0831,0.006051,879733.0,False
8.858643531799316,0.25,0.5,30297,2165,189,0.0803,0.0058,866278.6,False
8.858643531799316,0.5,0.5,30183,2151,184,0.0788,0.005644,866088.3,False
8.858643531799316,1.0,0.5,30016,2136,175,0.0757,0.005361,865750.5,False
8.858643531799316,2.0,0.5,29846,2129,169,0.0735,0.005173,865633.3,False
8.858643531799316,4.0,0.5,29685,2070,75,0.035,0.002226,864901.4,False
8.858643531799316,8.0,0.5,29146,1595,23,0.0142,0.000721,862519.9,False
27.729082107543945,0.0,0.3998,22718,1843,24,0.0129,0.000627,664246.3,False
27.729082107543945,0.25,0.3998,22631,1837,19,0.0102,0.00047,664178.8,False
27.729082107543945,0.5,0.3998,22547,1833,17,0.0092,0.000408,664116.2,False
27.729082107543945,1.0,0.3998,22432,1831,16,0.0087,0.000376,663969.5,False
27.729082107543945,2.0,0.3998,22341,1831,15,0.0081,0.000345,663957.9,False
27.729082107543945,4.0,0.3998,22315,1813,14,0.0077,0.000314,663901.5,False
27.729082107543945,8.0,0.3998,21892,1400,10,0.0071,0.000314,662185.9,False
27.84562768936157,0.0,0.35,14896,1842,24,0.0129,0.000627,446970.5,False
27.84562768936157,0.25,0.35,14809,1836,19,0.0102,0.00047,446903.0,True
27.84562768936157,0.5,0.35,14725,1832,17,0.0092,0.000408,446840.4,True
27.84562768936157,1.0,0.35,14610,1830,16,0.0087,0.000376,446693.7,True
27.84562768936157,2.0,0.35,14519,1830,15,0.0081,0.000345,446682.1,True
27.84562768936157,4.0,0.35,14493,1812,14,0.0077,0.000314,446625.7,True
27.84562768936157,8.0,0.35,14071,1400,10,0.0071,0.000314,444914.0,True
27.972103118896484,0.0,0.3,7045,1832,24,0.0129,0.000627,227060.8,False
27.972103118896484,0.25,0.3,6958,1826,19,0.0103,0.00047,226993.4,True
27.972103118896484,0.5,0.3,6874,1822,17,0.0092,0.000408,226930.7,True
27.972103118896484,1.0,0.3,6759,1820,16,0.0087,0.000376,226784.1,True
27.972103118896484,2.0,0.3,6668,1820,15,0.0082,0.000345,226772.5,True
