K,beta,tune_expert_balanced_nll
2,0.0,7.086861
2,0.5,9.41494
2,1.0,13.741574
4,0.0,8.210897
4,0.5,9.954612
4,1.0,13.210703
8,0.0,9.570077
8,0.5,10.546913
8,1.0,13.052677
