run,score,coverage,rows,balanced_error,classes_present,error_rate,macro_f1
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_maxprob,1.0,4023114,0.32478,7,0.037163,0.668813
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_maxprob,0.99,3982883,0.300198,7,0.031437,0.704199
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_maxprob,0.97,3902421,0.393463,7,0.02861,0.60032
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_maxprob,0.95,3821958,0.374304,7,0.020403,0.577031
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_maxprob,0.9,3620803,0.317622,7,0.015264,0.6027
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_maxprob,0.8,3218491,0.299971,7,0.013394,0.607425
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_maxprob,0.7,2816180,0.293883,7,0.005952,0.613332
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_maxprob,0.5,2011557,0.260944,7,0.003254,0.639579
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_maxprob,0.3,1206934,0.23867,6,0.000434,0.673702
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_maxprob,AURC_balanced,4023114,0.201054,7,,
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,global_maxprob,1.0,4023114,0.341541,7,0.039537,0.673435
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,global_maxprob,0.99,3982883,0.322178,7,0.034541,0.704313
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,global_maxprob,0.97,3902421,0.404004,7,0.03222,0.598926
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,global_maxprob,0.95,3821958,0.37561,7,0.025378,0.574505
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,global_maxprob,0.9,3620803,0.334746,7,0.021061,0.595797
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,global_maxprob,0.8,3218491,0.302914,7,0.017796,0.605916
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,global_maxprob,0.7,2816180,0.297043,7,0.006053,0.612171
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,global_maxprob,0.5,2011557,0.262991,7,0.003239,0.638794
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,global_maxprob,0.3,1206934,0.23867,6,0.000435,0.673701
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,global_maxprob,AURC_balanced,4023114,0.204186,7,,
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_glower,1.0,4023114,0.32478,7,0.037163,0.668813
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_glower,0.99,3982883,0.326909,7,0.034867,0.672869
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_glower,0.97,3902421,0.362673,7,0.030665,0.586772
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_glower,0.95,3821958,0.288015,7,0.020585,0.557745
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_glower,0.9,3620803,0.272383,7,0.013367,0.566726
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_glower,0.8,3218491,0.271643,7,0.008269,0.567662
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_glower,0.7,2816180,0.271661,7,0.009178,0.568179
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_glower,0.5,2011557,0.271676,7,0.011773,0.56976
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_glower,0.3,1206934,0.271709,7,0.017811,0.573099
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,system_glower,AURC_balanced,4023114,0.19371,7,,
