regime,rows,weighted_mass,mean_residual,kept,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
1,41632,0.078,4.19,False,12,0,39579,0,266,1775,0
2,17610,0.3557,45.11,False,0,0,17610,0,0,0,0
3,21243,0.1537,16.16,False,0,0,0,0,21243,0,0
4,15579,0.2838,42.42,True,0,0,0,0,0,15579,0
5,8663,0.1106,30.82,False,24,0,0,0,8613,26,0
6,135,0.0027,2365.36,True,0,0,0,0,0,0,135
7,529,0.0019,13.04,False,412,0,0,0,0,0,117
8,1894609,0.0135,0.02,True,1740957,20651,0,131674,0,1327,0
