class,rows,wrong,residual_mass,clipped_mass,clipped_rows,raw_mass_fraction,clipped_mass_fraction,context_rows,global_errors_in_context
benign,1728612,5522,28408.066187446773,28407.78138854298,9,0.06177027907302537,0.4725069552800613,188840.0,5498.0
bot,28759,11,15856.19808644358,15229.443353914874,173,0.03447759429924153,0.25331150684898884,28736.0,11.0
brute_force,26083,0,5227.042771874962,5214.987630281169,150,0.011365641315213212,0.08674094936541332,26083.0,0.0
ddos,182152,0,4853.626681619762,4853.626681619762,0,0.01055368826099179,0.08073042854107403,163298.0,0.0
dos,27335,0,10198.433753503336,2544.5940025599857,3524,0.022175395357957713,0.042324261375034145,26179.0,0.0
infiltration,6956,4204,313378.2208556124,3809.0011235798443,5856,0.6814071760440075,0.0633551595932411,6866.0,4204.0
web_attacks,103,5,81977.03303547823,61.96947525349742,103,0.17825022564956308,0.0010307389961872338,103.0,5.0
