budget,scenario,rows,class,recall
c0,benign,3502926,benign,0.997651
c0,bot,41542,bot,0.995282
c0,brute_force_web,325,web_attacks,0.221538
c0,brute_force_xss,96,web_attacks,0.916667
c0,ddos_attack_hoic,206463,ddos,0.999971
c0,ddos_attack_loic_udp,690,ddos,1.0
c0,ddos_attacks_loic_http,57719,ddos,1.0
c0,dos_attacks_goldeneye,12260,dos,1.0
c0,dos_attacks_hulk,20016,dos,0.998751
c0,dos_attacks_slowhttptest,21110,dos,0.0
c0,dos_attacks_slowloris,7208,dos,0.922586
c0,ftp_bruteforce,77344,brute_force,1.0
c0,infilteration,37631,infiltration,0.321065
c0,sql_injection,88,web_attacks,0.943182
c0,ssh_bruteforce,37696,brute_force,0.0
c0+ssh50,benign,3502926,benign,0.997581
c0+ssh50,bot,41542,bot,0.99533
c0+ssh50,brute_force_web,325,web_attacks,0.224615
c0+ssh50,brute_force_xss,96,web_attacks,0.916667
c0+ssh50,ddos_attack_hoic,206463,ddos,0.999995
c0+ssh50,ddos_attack_loic_udp,690,ddos,1.0
c0+ssh50,ddos_attacks_loic_http,57719,ddos,1.0
c0+ssh50,dos_attacks_goldeneye,12260,dos,1.0
c0+ssh50,dos_attacks_hulk,20016,dos,0.998751
c0+ssh50,dos_attacks_slowhttptest,21110,dos,0.0
c0+ssh50,dos_attacks_slowloris,7208,dos,0.922586
c0+ssh50,ftp_bruteforce,77344,brute_force,1.0
c0+ssh50,infilteration,37631,infiltration,0.321597
c0+ssh50,sql_injection,88,web_attacks,0.965909
c0+ssh50,ssh_bruteforce,37696,brute_force,0.998355
c0+ssh200,benign,3502926,benign,0.997448
c0+ssh200,bot,41542,bot,0.995282
c0+ssh200,brute_force_web,325,web_attacks,0.230769
c0+ssh200,brute_force_xss,96,web_attacks,0.916667
c0+ssh200,ddos_attack_hoic,206463,ddos,1.0
c0+ssh200,ddos_attack_loic_udp,690,ddos,1.0
c0+ssh200,ddos_attacks_loic_http,57719,ddos,0.999983
c0+ssh200,dos_attacks_goldeneye,12260,dos,1.0
c0+ssh200,dos_attacks_hulk,20016,dos,0.998751
c0+ssh200,dos_attacks_slowhttptest,21110,dos,0.0
c0+ssh200,dos_attacks_slowloris,7208,dos,0.922586
c0+ssh200,ftp_bruteforce,77344,brute_force,1.0
c0+ssh200,infilteration,37631,infiltration,0.320427
c0+ssh200,sql_injection,88,web_attacks,0.965909
c0+ssh200,ssh_bruteforce,37696,brute_force,0.996764
c0+ssh1000,benign,3502926,benign,0.996991
c0+ssh1000,bot,41542,bot,0.995282
c0+ssh1000,brute_force_web,325,web_attacks,0.221538
c0+ssh1000,brute_force_xss,96,web_attacks,0.916667
c0+ssh1000,ddos_attack_hoic,206463,ddos,0.999506
c0+ssh1000,ddos_attack_loic_udp,690,ddos,1.0
c0+ssh1000,ddos_attacks_loic_http,57719,ddos,1.0
c0+ssh1000,dos_attacks_goldeneye,12260,dos,1.0
c0+ssh1000,dos_attacks_hulk,20016,dos,0.998751
c0+ssh1000,dos_attacks_slowhttptest,21110,dos,0.0
c0+ssh1000,dos_attacks_slowloris,7208,dos,0.922586
c0+ssh1000,ftp_bruteforce,77344,brute_force,1.0
c0+ssh1000,infilteration,37631,infiltration,0.321331
c0+ssh1000,sql_injection,88,web_attacks,0.965909
c0+ssh1000,ssh_bruteforce,37696,brute_force,0.999469
c0+ssh5000,benign,3502926,benign,0.996956
c0+ssh5000,bot,41542,bot,0.995282
c0+ssh5000,brute_force_web,325,web_attacks,0.230769
c0+ssh5000,brute_force_xss,96,web_attacks,0.916667
c0+ssh5000,ddos_attack_hoic,206463,ddos,0.987901
c0+ssh5000,ddos_attack_loic_udp,690,ddos,1.0
c0+ssh5000,ddos_attacks_loic_http,57719,ddos,1.0
c0+ssh5000,dos_attacks_goldeneye,12260,dos,1.0
c0+ssh5000,dos_attacks_hulk,20016,dos,0.998701
c0+ssh5000,dos_attacks_slowhttptest,21110,dos,0.0
c0+ssh5000,dos_attacks_slowloris,7208,dos,0.922586
c0+ssh5000,ftp_bruteforce,77344,brute_force,1.0
c0+ssh5000,infilteration,37631,infiltration,0.322234
c0+ssh5000,sql_injection,88,web_attacks,0.954545
c0+ssh5000,ssh_bruteforce,37696,brute_force,0.999469
