class,global_pred,rows,wrong,residual_mass,clipped_mass,clipped_rows
benign,benign,2000,0,13105.980370718598,2064.71803118875,949
benign,reconnaissance,20,20,7404.684977162076,30.6065613164567,20
ddos,ddos,570665,0,26705.555050515613,26705.555050515613,0
ddos,dos,312653,312653,215454.9303229625,214966.82745258845,1272
ddos,reconnaissance,136,136,425.7371914233621,208.12461695190555,136
dos,ddos,42824,42824,51400.0770783931,50296.74182989536,7484
dos,dos,942974,0,60066.262559576266,60066.262559576266,0
reconnaissance,benign,6,6,26.701360841282536,9.181968394937009,6
reconnaissance,reconnaissance,128639,0,14433.895194383842,14427.37847992323,17
reconnaissance,theft,1,1,4.9703071431614445,1.5303280658228349,1
theft,benign,3,3,43145.31028550424,4.590984197468504,3
theft,reconnaissance,32,32,238970.67925084828,48.970498106330716,32
theft,theft,47,0,34850.548276475136,71.92541909367324,47
