stage,class,rows,global_errors,bank_correctable,taken,helpful,harmful,changed,correctable_recovery,split
top1_no_gates,benign,1056,3,1,1056,0,7,7,0.0,cal
top1_no_gates,ddos,50000,50000,0,50000,0,0,42119,0.0,cal
top1_no_gates,dos,50000,50000,0,50000,0,0,20246,0.0,cal
top1_no_gates,reconnaissance,50000,13,2,50000,0,215,215,0.0,cal
top1_no_gates,theft,33,2,0,33,0,0,1,0.0,cal
pre_only,benign,1056,3,1,0,0,0,0,0.0,cal
pre_only,ddos,50000,50000,0,0,0,0,0,0.0,cal
pre_only,dos,50000,50000,0,0,0,0,0,0.0,cal
pre_only,reconnaissance,50000,13,2,0,0,0,0,0.0,cal
pre_only,theft,33,2,0,0,0,0,0,0.0,cal
raw_verifier_gt0_diagnostic,benign,1056,3,1,45,0,6,6,0.0,cal
raw_verifier_gt0_diagnostic,ddos,50000,50000,0,36821,0,0,31750,0.0,cal
raw_verifier_gt0_diagnostic,dos,50000,50000,0,18597,0,0,9040,0.0,cal
raw_verifier_gt0_diagnostic,reconnaissance,50000,13,2,47683,0,0,0,0.0,cal
raw_verifier_gt0_diagnostic,theft,33,2,0,0,0,0,0,0.0,cal
post_only,benign,1056,3,1,0,0,0,0,0.0,cal
post_only,ddos,50000,50000,0,0,0,0,0,0.0,cal
post_only,dos,50000,50000,0,0,0,0,0,0.0,cal
post_only,reconnaissance,50000,13,2,0,0,0,0,0.0,cal
post_only,theft,33,2,0,0,0,0,0,0.0,cal
both_gates_recomputed,benign,1056,3,1,0,0,0,0,0.0,cal
both_gates_recomputed,ddos,50000,50000,0,0,0,0,0,0.0,cal
both_gates_recomputed,dos,50000,50000,0,0,0,0,0,0.0,cal
both_gates_recomputed,reconnaissance,50000,13,2,0,0,0,0,0.0,cal
both_gates_recomputed,theft,33,2,0,0,0,0,0,0.0,cal
top1_no_gates,benign,7475,667,347,7475,319,24,352,0.9193083573487032,eval
top1_no_gates,ddos,1425033,1425033,284,1425033,0,0,186011,0.0,eval
top1_no_gates,dos,1576325,1575864,667,1576325,666,0,635780,0.9985007496251874,eval
top1_no_gates,reconnaissance,266491,61,29,266491,8,14422,14432,0.27586206896551724,eval
top1_no_gates,theft,81,3,1,81,1,0,3,1.0,eval
pre_only,benign,7475,667,347,0,0,0,0,0.0,eval
pre_only,ddos,1425033,1425033,284,0,0,0,0,0.0,eval
pre_only,dos,1576325,1575864,667,0,0,0,0,0.0,eval
pre_only,reconnaissance,266491,61,29,0,0,0,0,0.0,eval
pre_only,theft,81,3,1,0,0,0,0,0.0,eval
raw_verifier_gt0_diagnostic,benign,7475,667,347,1368,7,14,21,0.020172910662824207,eval
raw_verifier_gt0_diagnostic,ddos,1425033,1425033,284,1000820,0,0,125354,0.0,eval
raw_verifier_gt0_diagnostic,dos,1576325,1575864,667,819222,0,0,446584,0.0,eval
raw_verifier_gt0_diagnostic,reconnaissance,266491,61,29,221217,0,6,6,0.0,eval
raw_verifier_gt0_diagnostic,theft,81,3,1,0,0,0,0,0.0,eval
post_only,benign,7475,667,347,0,0,0,0,0.0,eval
post_only,ddos,1425033,1425033,284,0,0,0,0,0.0,eval
post_only,dos,1576325,1575864,667,0,0,0,0,0.0,eval
post_only,reconnaissance,266491,61,29,0,0,0,0,0.0,eval
post_only,theft,81,3,1,0,0,0,0,0.0,eval
both_gates_recomputed,benign,7475,667,347,0,0,0,0,0.0,eval
both_gates_recomputed,ddos,1425033,1425033,284,0,0,0,0,0.0,eval
both_gates_recomputed,dos,1576325,1575864,667,0,0,0,0,0.0,eval
both_gates_recomputed,reconnaissance,266491,61,29,0,0,0,0,0.0,eval
both_gates_recomputed,theft,81,3,1,0,0,0,0,0.0,eval
native_final_policy,benign,7475,667,347,0,0,0,0,0.0,eval
native_final_policy,ddos,1425033,1425033,284,0,0,0,0,0.0,eval
native_final_policy,dos,1576325,1575864,667,0,0,0,0,0.0,eval
native_final_policy,reconnaissance,266491,61,29,0,0,0,0,0.0,eval
native_final_policy,theft,81,3,1,0,0,0,0,0.0,eval
