split,model,class,precision,recall,f1,support,helpful,harmful
cal,global,benign,0.010430803062872087,0.9971590909090909,0.02064564196574745,1056,0,0
cal,global,ddos,0.0,0.0,0.0,50000,0,0
cal,global,dos,0.0,0.0,0.0,50000,0,0
cal,global,reconnaissance,0.9976648570972377,0.99974,0.9987013505953808,50000,0,0
cal,global,theft,0.9117647058823529,0.9393939393939394,0.9253731343283582,33,0,0
cal,expert1,benign,0.011293213275463712,0.990530303030303,0.022331817502508594,1056,0,7
cal,expert1,ddos,0.0,0.0,0.0,50000,0,0
cal,expert1,dos,0.0,0.0,0.0,50000,0,0
cal,expert1,reconnaissance,0.8534380937708622,0.99714,0.9197096449884246,50000,2,132
cal,expert1,theft,0.6458333333333334,0.9393939393939394,0.7654320987654321,33,0,0
cal,expert2,benign,0.0103462942264513,0.990530303030303,0.020478684352209876,1056,0,7
cal,expert2,ddos,0.0,0.0,0.0,50000,0,0
cal,expert2,dos,0.0,0.0,0.0,50000,0,0
cal,expert2,reconnaissance,0.9992389802335129,0.9979,0.9985690412576427,50000,0,92
cal,expert2,theft,0.543859649122807,0.9393939393939394,0.6888888888888889,33,0,0
cal,expert3,benign,0.026995668316831683,0.9914772727272727,0.05256024096385542,1056,1,7
cal,expert3,ddos,0.0,0.0,0.0,50000,0,0
cal,expert3,dos,0.0,0.0,0.0,50000,0,0
cal,expert3,reconnaissance,0.44326727732829596,0.99494,0.6132973346154794,50000,0,240
cal,expert3,theft,0.4492753623188406,0.9393939393939394,0.6078431372549019,33,0,0
eval,global,benign,0.0023001624101161196,0.9107692307692308,0.004588735893580151,7475,0,0
eval,global,ddos,0.0,0.0,0.0,1425033,0,0
eval,global,dos,0.7582236842105263,0.0002924523813299922,0.0005846792476281491,1576325,0,0
eval,global,reconnaissance,0.846107676038223,0.9997710992116057,0.9165433967456741,266491,0,0
eval,global,theft,0.6964285714285714,0.9629629629629629,0.8082901554404145,81,0,0
eval,expert1,benign,0.0026850616806497188,0.9102341137123746,0.0053543288497518195,7475,27,31
eval,expert1,ddos,0.30052910052910053,0.00019929363039312072,0.000398323115784395,1425033,284,0
eval,expert1,dos,0.0,0.0,0.0,1576325,0,461
eval,expert1,reconnaissance,0.35934445805804077,0.998206318412254,0.5284515536908352,266491,19,436
eval,expert1,theft,0.47305389221556887,0.9753086419753086,0.6370967741935484,81,1,0
eval,expert2,benign,0.0022924586306834645,0.9092976588628763,0.004573387152664467,7475,31,42
eval,expert2,ddos,1.0,1.4034762703740897e-06,2.806948601262425e-06,1425033,2,0
eval,expert2,dos,0.7778662420382165,0.0006197960445974022,0.0012386051809701055,1576325,516,0
eval,expert2,reconnaissance,0.8617652008440239,0.9992157333643538,0.9254144750446144,266491,25,173
eval,expert2,theft,0.36792452830188677,0.9629629629629629,0.5324232081911263,81,0,0
eval,expert3,benign,0.0032951628971509203,0.9522408026755853,0.0065675990756644065,7475,333,23
eval,expert3,ddos,0.0,0.0,0.0,1425033,0,0
eval,expert3,dos,0.7151015228426396,0.0007149540862449051,0.001428479987020732,1576325,666,0
eval,expert3,reconnaissance,0.2262267844954557,0.9452439294385176,0.36507868643616426,266491,8,14539
eval,expert3,theft,0.38349514563106796,0.9753086419753086,0.5505226480836237,81,1,0
