class,calibration,true_expert,correct_activation,act_benign,act_flood,act_bf_bot,act_tail
benign,raw,benign,0.54088,0.5409,0.0,0.0001,0.459
benign,cal,benign,0.54418,0.5442,0.0,0.0,0.4558
bot,raw,bf_bot,0.9968947089692359,0.0,0.0,0.9969,0.0031
bot,cal,bf_bot,0.9697414664676712,0.0001,0.0,0.9697,0.0302
brute_force,raw,bf_bot,1.0,0.0,0.0,1.0,0.0
brute_force,cal,bf_bot,0.99818,0.0018,0.0,0.9982,0.0
ddos,raw,flood,0.98334,0.0002,0.9833,0.0,0.0164
ddos,cal,flood,0.83576,0.0002,0.8358,0.0,0.1641
dos,raw,flood,0.6445,0.0082,0.6445,0.3472,0.0001
dos,cal,flood,0.62658,0.0093,0.6266,0.3472,0.0168
infiltration,raw,tail,0.7264489383752757,0.2721,0.0007,0.0007,0.7264
infiltration,cal,tail,0.7275916132975472,0.2724,0.0,0.0,0.7276
web_attacks,raw,tail,0.6777996070726916,0.2004,0.0589,0.0629,0.6778
web_attacks,cal,tail,0.8330058939096268,0.1336,0.0334,0.0,0.833
