true_group,act_benign,act_flood,act_bf_bot,act_tail
benign,0.5409,0.0,0.0001,0.459
flood,0.0042,0.8139,0.1736,0.0083
bf_bot,0.0,0.0,0.9986,0.0014
tail,0.2711,0.0015,0.0016,0.7258
