class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3500400,0,59,2467,0
bot,41542,41400,0,0,142,0
brute_force,115040,115020,0,0,20,0
ddos,264872,223433,2190,0,39249,0
dos,60594,38865,0,0,21729,0
infiltration,37631,9787,207,0,27637,0
web_attacks,509,232,0,0,277,0
