context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.870702,0.010325,0.028595,0.065837,0.015061,0.009353,0.000126
C0,0.749958,0.019969,0.055296,0.127301,0.029128,0.018099,0.00025
expert1,0.069064,0.069064,0.069064,0.069064,0.069064,0.624029,0.030649
expert2,0.393227,0.113962,0.066585,0.31736,0.082725,0.022307,0.003834
